name,price,stock,category,description
Auriculares Bluetooth,7999.99,25,Accesorios,Auriculares inalámbricos con conectividad Bluetooth y micrófono integrado.
Teclado Mecánico,12500.5,10,Periféricos,Teclado mecánico retroiluminado con switches azules para mejor experiencia de escritura.
Mouse Gamer,8990.75,15,Periféricos,Mouse ergonómico con alta precisión, DPI ajustable y luces LED RGB.
Notebook 14'',150000.0,5,Computadoras,Notebook ultradelgada de 14 pulgadas con procesador Intel i5 y SSD de 256GB.
Monitor 24'',99999.99,7,Monitores,Monitor LED de 24 pulgadas Full HD con bordes delgados y entradas HDMI/VGA.
Cargador USB-C,2999.99,30,Accesorios,Cargador rápido con conector USB-C compatible con múltiples dispositivos.
Silla Ergonómica,45990.0,8,Mobiliario,Silla de oficina ergonómica con soporte lumbar y altura ajustable.
Parlantes Estéreo,8500.2,12,Audio,Parlantes estéreo compactos con sonido envolvente y entrada auxiliar.
Webcam HD,6200.0,20,Video,Webcam HD 720p con micrófono incorporado ideal para videollamadas.
Disco SSD 500GB,33900.3,9,Almacenamiento,Disco sólido de 500GB con tecnología SATA III para mayor velocidad y rendimiento.
